,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
191,19,2023-01-23 19:45,Inter,Empoli,0,0,0,1,1
192,19,2023-01-23 17:30,Bologna,Cremonese,0,0,1,1,2
193,19,2023-01-22 19:45,Juventus,Atalanta,2,1,3,3,6
194,19,2023-01-22 17:00,Spezia,AS Roma,0,1,0,2,2
195,19,2023-01-22 14:00,Monza,Sassuolo,0,1,1,1,2
196,19,2023-01-22 11:30,Sampdoria,Udinese,0,0,0,1,1
197,19,2023-01-21 19:45,Fiorentina,Torino,0,1,0,1,1
198,19,2023-01-21 17:00,Salernitana,Napoli,0,1,0,2,2
199,19,2023-01-21 14:00,Verona,Lecce,1,0,2,0,2
200,18,2023-01-16 19:45,Empoli,Sampdoria,0,0,1,0,1
201,18,2023-01-15 19:45,AS Roma,Fiorentina,1,0,2,0,2
202,18,2023-01-15 17:00,Atalanta,Salernitana,5,1,8,2,10
203,18,2023-01-15 14:00,Torino,Spezia,0,1,0,1,1
204,18,2023-01-15 14:00,Udinese,Bologna,1,0,1,2,3
205,18,2023-01-15 11:30,Sassuolo,Lazio,0,1,0,2,2
206,18,2023-01-14 19:45,Inter,Verona,1,0,1,0,1
207,18,2023-01-14 17:00,Lecce,AC Milan,2,0,2,2,4
208,18,2023-01-14 14:00,Cremonese,Monza,0,2,2,3,5
209,18,2023-01-13 19:45,Napoli,Juventus,2,1,5,1,6
210,17,2023-01-09 19:45,Bologna,Atalanta,1,0,1,2,3
211,17,2023-01-09 17:30,Verona,Cremonese,2,0,2,0,2
212,17,2023-01-08 19:45,AC Milan,AS Roma,1,0,2,2,4
213,17,2023-01-08 17:00,Sampdoria,Napoli,0,1,0,2,2
214,17,2023-01-08 14:00,Lazio,Empoli,1,0,2,2,4
215,17,2023-01-08 14:00,Spezia,Lecce,0,0,0,0,0
216,17,2023-01-08 11:30,Salernitana,Torino,0,1,1,1,2
217,17,2023-01-07 19:45,Monza,Inter,1,2,2,2,4
218,17,2023-01-07 17:00,Juventus,Udinese,0,0,1,0,1
219,17,2023-01-07 14:00,Fiorentina,Sassuolo,0,0,2,1,3
220,16,2023-01-04 19:45,Inter,Napoli,0,0,1,0,1
221,16,2023-01-04 19:45,Udinese,Empoli,0,1,1,1,2
222,16,2023-01-04 17:30,Fiorentina,Monza,1,0,1,1,2
223,16,2023-01-04 17:30,Cremonese,Juventus,0,0,0,1,1
224,16,2023-01-04 15:30,Lecce,Lazio,0,1,2,1,3
225,16,2023-01-04 15:30,AS Roma,Bologna,1,0,1,0,1
226,16,2023-01-04 13:30,Torino,Verona,0,1,1,1,2
227,16,2023-01-04 13:30,Spezia,Atalanta,2,0,2,2,4
228,16,2023-01-04 11:30,Salernitana,AC Milan,0,2,1,2,3
229,16,2023-01-04 11:30,Sassuolo,Sampdoria,0,2,1,2,3
230,15,2022-11-13 19:45,Juventus,Lazio,1,0,3,0,3
231,15,2022-11-13 17:00,AC Milan,Fiorentina,1,1,2,1,3
232,15,2022-11-13 14:00,Verona,Spezia,1,0,1,2,3
233,15,2022-11-13 14:00,AS Roma,Torino,0,0,1,1,2
234,15,2022-11-13 14:00,Monza,Salernitana,2,0,3,0,3
235,15,2022-11-13 11:30,Atalanta,Inter,1,1,2,3,5
236,15,2022-11-12 19:45,Bologna,Sassuolo,1,0,3,0,3
237,15,2022-11-12 17:00,Sampdoria,Lecce,0,1,0,2,2
238,15,2022-11-12 14:00,Napoli,Udinese,2,0,3,2,5
239,15,2022-11-11 19:45,Empoli,Cremonese,0,0,2,0,2
240,14,2022-11-10 19:45,Lazio,Monza,0,0,1,0,1
241,14,2022-11-10 17:30,Verona,Juventus,0,0,0,1,1
242,14,2022-11-09 19:45,Inter,Bologna,3,1,6,1,7
243,14,2022-11-09 19:45,Torino,Sampdoria,1,0,2,0,2
244,14,2022-11-09 19:45,Fiorentina,Salernitana,1,0,2,1,3
245,14,2022-11-09 17:30,Sassuolo,AS Roma,0,0,1,1,2
246,14,2022-11-09 17:30,Lecce,Atalanta,2,1,2,1,3
247,14,2022-11-08 19:45,Cremonese,AC Milan,0,0,0,0,0
248,14,2022-11-08 17:30,Spezia,Udinese,1,1,1,1,2
249,14,2022-11-08 17:30,Napoli,Empoli,0,0,2,0,2
250,13,2022-11-06 19:45,Juventus,Inter,0,0,2,0,2
251,13,2022-11-06 17:00,AS Roma,Lazio,0,1,0,1,1
252,13,2022-11-06 14:00,Sampdoria,Fiorentina,0,1,0,2,2
253,13,2022-11-06 14:00,Monza,Verona,0,0,2,0,2
254,13,2022-11-06 11:30,Bologna,Torino,0,1,2,1,3
255,13,2022-11-05 19:45,AC Milan,Spezia,1,0,2,1,3
256,13,2022-11-05 17:00,Atalanta,Napoli,1,2,1,2,3
257,13,2022-11-05 14:00,Salernitana,Cremonese,2,1,2,2,4
258,13,2022-11-05 14:00,Empoli,Sassuolo,0,0,1,0,1
259,13,2022-11-04 19:45,Udinese,Lecce,0,1,1,1,2
260,12,2022-10-31 19:45,Monza,Bologna,0,0,1,2,3
261,12,2022-10-31 17:30,Verona,AS Roma,1,1,1,3,4
262,12,2022-10-30 19:45,Torino,AC Milan,2,0,2,1,3
263,12,2022-10-30 17:00,Lazio,Salernitana,1,0,1,3,4
264,12,2022-10-30 14:00,Cremonese,Udinese,0,0,0,0,0
265,12,2022-10-30 14:00,Spezia,Fiorentina,1,1,1,2,3
266,12,2022-10-30 11:30,Empoli,Atalanta,0,1,0,2,2
267,12,2022-10-29 18:45,Inter,Sampdoria,2,0,3,0,3
268,12,2022-10-29 16:00,Lecce,Juventus,0,0,0,1,1
269,12,2022-10-29 13:00,Napoli,Sassuolo,3,0,4,0,4
270,11,2022-10-24 18:45,Sassuolo,Verona,1,1,2,1,3
271,11,2022-10-24 16:30,Cremonese,Sampdoria,0,0,0,1,1
272,11,2022-10-23 18:45,AS Roma,Napoli,0,0,0,1,1
273,11,2022-10-23 16:00,Atalanta,Lazio,0,1,0,2,2
274,11,2022-10-23 13:00,Bologna,Lecce,2,0,2,0,2
275,11,2022-10-23 10:30,Udinese,Torino,1,1,1,2,3
276,11,2022-10-22 18:45,Fiorentina,Inter,1,2,3,4,7
277,11,2022-10-22 16:00,AC Milan,Monza,2,0,4,1,5
278,11,2022-10-22 13:00,Salernitana,Spezia,0,0,1,0,1
279,11,2022-10-21 18:45,Juventus,Empoli,1,0,4,0,4
280,10,2022-10-17 18:45,Lecce,Fiorentina,1,0,1,1,2
281,10,2022-10-17 16:30,Sampdoria,AS Roma,0,1,0,1,1
282,10,2022-10-16 18:45,Verona,AC Milan,1,1,1,2,3
283,10,2022-10-16 16:00,Napoli,Bologna,1,1,3,2,5
284,10,2022-10-16 13:00,Spezia,Cremonese,2,1,2,2,4
285,10,2022-10-16 13:00,Lazio,Udinese,0,0,0,0,0
286,10,2022-10-16 10:30,Inter,Salernitana,1,0,2,0,2
287,10,2022-10-15 18:45,Atalanta,Sassuolo,1,1,2,1,3
288,10,2022-10-15 16:00,Torino,Juventus,0,0,0,1,1
289,10,2022-10-15 13:00,Empoli,Monza,1,0,1,0,1
290,9,2022-10-10 18:45,Fiorentina,Lazio,0,2,0,4,4
291,9,2022-10-09 18:45,AS Roma,Lecce,1,1,2,1,3
292,9,2022-10-09 16:00,Cremonese,Napoli,0,1,1,4,5
293,9,2022-10-09 13:00,Udinese,Atalanta,0,1,2,2,4
294,9,2022-10-09 13:00,Monza,Spezia,1,0,2,0,2
295,9,2022-10-09 13:00,Salernitana,Verona,1,0,2,1,3
296,9,2022-10-09 10:30,Torino,Empoli,0,0,1,1,2
297,9,2022-10-08 18:45,Bologna,Sampdoria,1,0,1,1,2
298,9,2022-10-08 16:00,AC Milan,Juventus,1,0,2,0,2
299,9,2022-10-08 13:00,Sassuolo,Inter,0,1,1,2,3
300,8,2022-10-03 18:45,Verona,Udinese,1,0,1,2,3
301,8,2022-10-02 18:45,Juventus,Bologna,1,0,3,0,3
302,8,2022-10-02 16:00,Atalanta,Fiorentina,0,0,1,0,1
303,8,2022-10-02 13:00,Sampdoria,Monza,0,1,0,3,3
304,8,2022-10-02 13:00,Lecce,Cremonese,1,1,1,1,2
305,8,2022-10-02 13:00,Sassuolo,Salernitana,2,0,5,0,5
306,8,2022-10-02 10:30,Lazio,Spezia,2,0,4,0,4
307,8,2022-10-01 18:45,Empoli,AC Milan,0,0,1,3,4
308,8,2022-10-01 16:00,Inter,AS Roma,1,1,1,2,3
309,8,2022-10-01 13:00,Napoli,Torino,3,1,3,1,4
310,7,2022-09-18 18:45,AC Milan,Napoli,0,0,1,2,3
311,7,2022-09-18 16:00,AS Roma,Atalanta,0,1,0,1,1
312,7,2022-09-18 13:00,Monza,Juventus,0,0,1,0,1
313,7,2022-09-18 13:00,Cremonese,Lazio,0,3,0,4,4
314,7,2022-09-18 13:00,Fiorentina,Verona,1,0,2,0,2
315,7,2022-09-18 10:30,Udinese,Inter,1,1,3,1,4
316,7,2022-09-17 18:45,Torino,Sassuolo,0,0,0,1,1
317,7,2022-09-17 16:00,Spezia,Sampdoria,1,1,2,1,3
318,7,2022-09-17 13:00,Bologna,Empoli,0,0,0,1,1
319,7,2022-09-16 18:45,Salernitana,Lecce,0,1,1,2,3
320,6,2022-09-12 18:45,Empoli,AS Roma,1,1,1,2,3
321,6,2022-09-11 18:45,Juventus,Salernitana,0,2,2,2,4
322,6,2022-09-11 16:00,Lazio,Verona,0,0,2,0,2
323,6,2022-09-11 13:00,Bologna,Fiorentina,0,0,2,1,3
324,6,2022-09-11 13:00,Sassuolo,Udinese,1,0,1,3,4
325,6,2022-09-11 13:00,Lecce,Monza,0,1,1,1,2
326,6,2022-09-11 10:30,Atalanta,Cremonese,0,0,1,1,2
327,6,2022-09-10 18:45,Sampdoria,AC Milan,0,1,1,2,3
328,6,2022-09-10 16:00,Inter,Torino,0,0,1,0,1
329,6,2022-09-10 13:00,Napoli,Spezia,0,0,1,0,1
330,5,2022-09-05 18:45,Torino,Lecce,1,0,1,0,1
331,5,2022-09-05 16:30,Salernitana,Empoli,1,1,2,2,4
332,5,2022-09-05 16:30,Monza,Atalanta,0,0,0,2,2
333,5,2022-09-04 18:45,Udinese,AS Roma,1,0,4,0,4
334,5,2022-09-04 16:00,Verona,Sampdoria,2,1,2,1,3
335,5,2022-09-04 13:00,Spezia,Bologna,1,1,2,2,4
336,5,2022-09-04 10:30,Cremonese,Sassuolo,0,0,0,0,0
337,5,2022-09-03 18:45,Lazio,Napoli,1,1,1,2,3
338,5,2022-09-03 16:00,AC Milan,Inter,1,1,3,2,5
339,5,2022-09-03 13:00,Fiorentina,Juventus,1,1,1,1,2
340,4,2022-09-01 18:45,Atalanta,Torino,1,0,3,1,4
341,4,2022-09-01 18:45,Bologna,Salernitana,0,0,1,1,2
342,4,2022-08-31 18:45,Napoli,Lecce,1,1,1,1,2
343,4,2022-08-31 18:45,Juventus,Spezia,1,0,2,0,2
344,4,2022-08-31 16:30,Udinese,Fiorentina,1,0,1,0,1
345,4,2022-08-31 16:30,Sampdoria,Lazio,0,1,1,1,2
346,4,2022-08-31 16:30,Empoli,Verona,1,0,1,1,2
347,4,2022-08-30 18:45,AS Roma,Monza,2,0,3,0,3
348,4,2022-08-30 18:45,Inter,Cremonese,2,0,3,1,4
349,4,2022-08-30 16:30,Sassuolo,AC Milan,0,0,0,0,0
350,3,2022-08-28 18:45,Fiorentina,Napoli,0,0,0,0,0
351,3,2022-08-28 18:45,Lecce,Empoli,1,1,1,1,2
352,3,2022-08-28 16:30,Salernitana,Sampdoria,2,0,4,0,4
353,3,2022-08-28 16:30,Verona,Atalanta,0,0,0,1,1
354,3,2022-08-27 18:45,AC Milan,Bologna,1,0,2,0,2
355,3,2022-08-27 18:45,Spezia,Sassuolo,2,1,2,2,4
356,3,2022-08-27 16:30,Juventus,AS Roma,1,0,1,1,2
357,3,2022-08-27 16:30,Cremonese,Torino,0,1,1,2,3
358,3,2022-08-26 18:45,Lazio,Inter,1,0,3,1,4
359,3,2022-08-26 16:30,Monza,Udinese,1,1,1,2,3
360,2,2022-08-22 18:45,Sampdoria,Juventus,0,0,0,0,0
361,2,2022-08-22 16:30,AS Roma,Cremonese,0,0,1,0,1
362,2,2022-08-21 18:45,Bologna,Verona,1,1,1,1,2
363,2,2022-08-21 18:45,Atalanta,AC Milan,1,0,1,1,2
364,2,2022-08-21 16:30,Empoli,Fiorentina,0,0,0,0,0
365,2,2022-08-21 16:30,Napoli,Monza,2,0,4,0,4
366,2,2022-08-20 18:45,Inter,Spezia,1,0,3,0,3
367,2,2022-08-20 18:45,Sassuolo,Lecce,1,0,1,0,1
368,2,2022-08-20 16:30,Udinese,Salernitana,0,0,0,0,0
369,2,2022-08-20 16:30,Torino,Lazio,0,0,0,0,0
370,1,2022-08-15 18:45,Juventus,Sassuolo,2,0,3,0,3
371,1,2022-08-15 16:30,Verona,Napoli,1,2,2,5,7
372,1,2022-08-14 18:45,Salernitana,AS Roma,0,1,0,1,1
373,1,2022-08-14 18:45,Spezia,Empoli,1,0,1,0,1
374,1,2022-08-14 16:30,Fiorentina,Cremonese,2,1,3,2,5
375,1,2022-08-14 16:30,Lazio,Bologna,0,1,2,1,3
376,1,2022-08-13 18:45,Lecce,Inter,0,1,1,2,3
377,1,2022-08-13 18:45,Monza,Torino,0,1,1,2,3
378,1,2022-08-13 16:30,AC Milan,Udinese,2,2,4,2,6
379,1,2022-08-13 16:30,Sampdoria,Atalanta,0,1,0,2,2
