Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
282,3,2022-08-21 14:45,Waalwijk,Feyenoord,0,0,0,0,1,1,0,1,1
283,3,2022-08-21 12:30,Sparta Rotterdam,Ajax,0,1,1,0,0,0,0,1,1
284,3,2022-08-21 10:15,Groningen,G.A. Eagles,1,0,1,0,0,0,1,0,1
285,3,2022-08-20 19:00,FC Emmen,Utrecht,1,2,3,2,0,2,3,2,5
286,3,2022-08-20 16:45,Sittard,Cambuur,1,0,1,0,4,4,1,4,5
287,3,2022-08-20 14:30,Vitesse,Heerenveen,0,2,2,0,2,2,0,4,4
288,2,2022-08-14 14:45,Sparta Rotterdam,AZ Alkmaar,1,1,2,1,2,3,2,3,5
289,2,2022-08-14 12:30,Twente,Sittard,2,0,2,1,0,1,3,0,3
290,2,2022-08-14 12:30,Ajax,Groningen,3,1,4,3,0,3,6,1,7
291,2,2022-08-14 10:15,FC Volendam,Nijmegen,1,2,3,0,2,2,1,4,5
