mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
6,2022-09-11 13:00,Bologna,Fiorentina,0,0,0,2,1,3,2,1,3
6,2022-09-11 13:00,Lecce,Monza,0,1,1,1,0,1,1,1,2
6,2022-09-11 13:00,Sassuolo,Udinese,1,0,1,0,3,3,1,3,4
6,2022-09-11 10:30,Atalanta,Cremonese,0,0,0,1,1,2,1,1,2
6,2022-09-10 18:45,Sampdoria,AC Milan,0,1,1,1,1,2,1,2,3
6,2022-09-10 16:00,Inter,Torino,0,0,0,1,0,1,1,0,1
6,2022-09-10 13:00,Napoli,Spezia,0,0,0,1,0,1,1,0,1
5,2022-09-05 18:45,Torino,Lecce,1,0,1,0,0,0,1,0,1
5,2022-09-05 16:30,Monza,Atalanta,0,0,0,0,2,2,0,2,2
5,2022-09-05 16:30,Salernitana,Empoli,1,1,2,1,1,2,2,2,4
5,2022-09-04 18:45,Udinese,AS Roma,1,0,1,3,0,3,4,0,4
5,2022-09-04 16:00,Verona,Sampdoria,2,1,3,0,0,0,2,1,3
5,2022-09-04 13:00,Spezia,Bologna,1,1,2,1,1,2,2,2,4
5,2022-09-04 10:30,Cremonese,Sassuolo,0,0,0,0,0,0,0,0,0
5,2022-09-03 18:45,Lazio,Napoli,1,1,2,0,1,1,1,2,3
5,2022-09-03 16:00,AC Milan,Inter,1,1,2,2,1,3,3,2,5
5,2022-09-03 13:00,Fiorentina,Juventus,1,1,2,0,0,0,1,1,2
4,2022-09-01 18:45,Atalanta,Torino,1,0,1,2,1,3,3,1,4
4,2022-09-01 18:45,Bologna,Salernitana,0,0,0,1,1,2,1,1,2
4,2022-08-31 18:45,Juventus,Spezia,1,0,1,1,0,1,2,0,2
4,2022-08-31 18:45,Napoli,Lecce,1,1,2,0,0,0,1,1,2
4,2022-08-31 16:30,Udinese,Fiorentina,1,0,1,0,0,0,1,0,1
4,2022-08-31 16:30,Sampdoria,Lazio,0,1,1,1,0,1,1,1,2
4,2022-08-31 16:30,Empoli,Verona,1,0,1,0,1,1,1,1,2
4,2022-08-30 18:45,AS Roma,Monza,2,0,2,1,0,1,3,0,3
4,2022-08-30 18:45,Inter,Cremonese,2,0,2,1,1,2,3,1,4
4,2022-08-30 16:30,Sassuolo,AC Milan,0,0,0,0,0,0,0,0,0
3,2022-08-28 18:45,Fiorentina,Napoli,0,0,0,0,0,0,0,0,0
3,2022-08-28 18:45,Lecce,Empoli,1,1,2,0,0,0,1,1,2
3,2022-08-28 16:30,Salernitana,Sampdoria,2,0,2,2,0,2,4,0,4
3,2022-08-28 16:30,Verona,Atalanta,0,0,0,0,1,1,0,1,1
3,2022-08-27 18:45,AC Milan,Bologna,1,0,1,1,0,1,2,0,2
3,2022-08-27 18:45,Spezia,Sassuolo,2,1,3,0,1,1,2,2,4
3,2022-08-27 16:30,Cremonese,Torino,0,1,1,1,1,2,1,2,3
3,2022-08-27 16:30,Juventus,AS Roma,1,0,1,0,1,1,1,1,2
3,2022-08-26 18:45,Lazio,Inter,1,0,1,2,1,3,3,1,4
3,2022-08-26 16:30,Monza,Udinese,1,1,2,0,1,1,1,2,3
2,2022-08-22 18:45,Sampdoria,Juventus,0,0,0,0,0,0,0,0,0
2,2022-08-22 16:30,AS Roma,Cremonese,0,0,0,1,0,1,1,0,1
2,2022-08-21 18:45,Bologna,Verona,1,1,2,0,0,0,1,1,2
2,2022-08-21 18:45,Atalanta,AC Milan,1,0,1,0,1,1,1,1,2
2,2022-08-21 16:30,Empoli,Fiorentina,0,0,0,0,0,0,0,0,0
2,2022-08-21 16:30,Napoli,Monza,2,0,2,2,0,2,4,0,4
2,2022-08-20 18:45,Inter,Spezia,1,0,1,2,0,2,3,0,3
2,2022-08-20 18:45,Sassuolo,Lecce,1,0,1,0,0,0,1,0,1
2,2022-08-20 16:30,Torino,Lazio,0,0,0,0,0,0,0,0,0
2,2022-08-20 16:30,Udinese,Salernitana,0,0,0,0,0,0,0,0,0
1,2022-08-15 18:45,Juventus,Sassuolo,2,0,2,1,0,1,3,0,3
1,2022-08-15 16:30,Verona,Napoli,1,2,3,1,3,4,2,5,7
1,2022-08-14 18:45,Salernitana,AS Roma,0,1,1,0,0,0,0,1,1
1,2022-08-14 18:45,Spezia,Empoli,1,0,1,0,0,0,1,0,1
1,2022-08-14 16:30,Fiorentina,Cremonese,2,1,3,1,1,2,3,2,5
1,2022-08-14 16:30,Lazio,Bologna,0,1,1,2,0,2,2,1,3
1,2022-08-13 18:45,Lecce,Inter,0,1,1,1,1,2,1,2,3
1,2022-08-13 18:45,Monza,Torino,0,1,1,1,1,2,1,2,3
1,2022-08-13 16:30,AC Milan,Udinese,2,2,4,2,0,2,4,2,6
1,2022-08-13 16:30,Sampdoria,Atalanta,0,1,1,0,1,1,0,2,2
