mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
8,2022-10-01 14:30,Cambuur,PSV,0,0,0,3,0,3,3,0,3
7,2022-09-18 14:45,AZ Alkmaar,Ajax,2,1,3,0,0,0,2,1,3
7,2022-09-18 12:30,Heerenveen,Twente,2,1,3,0,0,0,2,1,3
7,2022-09-18 12:30,PSV,Feyenoord,2,2,4,2,1,3,4,3,7
7,2022-09-18 10:15,G.A. Eagles,FC Emmen,1,0,1,1,0,1,2,0,2
7,2022-09-17 19:00,Sittard,Excelsior,0,0,0,1,0,1,1,0,1
7,2022-09-17 18:00,Waalwijk,Cambuur,1,1,2,4,0,4,5,1,6
7,2022-09-17 16:45,Vitesse,FC Volendam,0,1,1,1,0,1,1,1,2
7,2022-09-17 14:30,Sparta Rotterdam,Groningen,0,0,0,2,1,3,2,1,3
7,2022-09-16 18:00,Utrecht,Nijmegen,0,0,0,0,0,0,0,0,0
6,2022-09-11 18:00,Feyenoord,Sparta Rotterdam,2,0,2,1,0,1,3,0,3
6,2022-09-11 14:45,AZ Alkmaar,Twente,0,0,0,1,1,2,1,1,2
6,2022-09-11 12:30,Cambuur,Groningen,0,0,0,0,1,1,0,1,1
6,2022-09-11 12:30,PSV,Waalwijk,0,0,0,1,0,1,1,0,1
6,2022-09-11 10:15,Utrecht,Vitesse,0,0,0,1,0,1,1,0,1
6,2022-09-10 19:00,Excelsior,FC Emmen,0,1,1,2,0,2,2,1,3
6,2022-09-10 16:45,Ajax,Heerenveen,2,0,2,3,0,3,5,0,5
6,2022-09-10 14:30,Nijmegen,Sittard,0,0,0,1,1,2,1,1,2
6,2022-09-09 18:00,FC Volendam,G.A. Eagles,1,1,2,1,2,3,2,3,5
5,2022-09-04 14:45,Groningen,Vitesse,0,0,0,0,1,1,0,1,1
5,2022-09-04 12:30,FC Emmen,AZ Alkmaar,0,3,3,0,0,0,0,3,3
5,2022-09-04 12:30,Heerenveen,Nijmegen,0,0,0,0,0,0,0,0,0
5,2022-09-04 10:15,Waalwijk,Excelsior,1,2,3,4,0,4,5,2,7
5,2022-09-03 19:00,G.A. Eagles,Feyenoord,2,2,4,1,2,3,3,4,7
5,2022-09-03 18:00,Sparta Rotterdam,FC Volendam,1,0,1,3,0,3,4,0,4
5,2022-09-03 16:45,Twente,PSV,2,0,2,0,1,1,2,1,3
5,2022-09-03 14:30,Ajax,Cambuur,2,0,2,2,0,2,4,0,4
5,2022-09-02 18:00,Sittard,Utrecht,0,0,0,3,4,7,3,4,7
4,2022-09-01 18:00,AZ Alkmaar,Nijmegen,0,0,0,1,1,2,1,1,2
4,2022-08-31 19:00,Twente,Excelsior,2,0,2,2,0,2,4,0,4
4,2022-08-31 16:45,PSV,FC Volendam,3,1,4,4,0,4,7,1,8
4,2022-08-28 14:45,Cambuur,AZ Alkmaar,0,0,0,0,1,1,0,1,1
4,2022-08-28 12:30,Excelsior,PSV,0,3,3,1,3,4,1,6,7
4,2022-08-28 12:30,FC Volendam,Twente,0,0,0,1,0,1,1,0,1
4,2022-08-28 10:15,Utrecht,Ajax,0,2,2,0,0,0,0,2,2
4,2022-08-27 19:00,Heerenveen,Sittard,2,0,2,0,1,1,2,1,3
4,2022-08-27 18:00,Feyenoord,FC Emmen,0,0,0,4,0,4,4,0,4
3,2022-08-27 16:45,Vitesse,Waalwijk,0,1,1,2,1,3,2,2,4
3,2022-08-27 14:30,G.A. Eagles,Sparta Rotterdam,0,1,1,0,0,0,0,1,1
3,2022-08-26 18:00,Nijmegen,Groningen,0,0,0,1,1,2,1,1,2
